vector,label
"[-0.10676802  0.01779545  0.64119446  0.07598718  0.2576681  -0.05950746
  0.31934628  0.7039828  -0.5347304  -0.07798879  0.69017917  0.03376522
  0.32731566 -0.16829458  0.29261175  0.15768905  1.2632648  -0.3011856
 -0.42072567 -0.66899997]",0
"[-0.06820027 -0.02058674  0.70608264 -0.06543817  0.16654193 -0.10560608
  0.10946613  0.67347497 -0.50320506 -0.06917562  0.664061    0.21884461
  0.3775342  -0.20102267  0.34942803  0.1738401   1.1734269  -0.21857606
 -0.4301894  -0.53982234]",1
"[-0.13577516 -0.06042644  0.55791974  0.09115727  0.21719016 -0.10869093
  0.2612716   0.5509052  -0.5920322  -0.11827942  0.73060524 -0.04111775
  0.44262832 -0.23716299  0.41468436  0.23446374  1.3968637  -0.22099398
 -0.5640672  -0.56583   ]",1
"[-0.04428148 -0.04465097  0.67058635 -0.04925885  0.10890664 -0.1936777
  0.17699817  0.5654953  -0.4811925  -0.00436165  0.7152011   0.10759293
  0.33576745 -0.2207381   0.40110266  0.19955817  1.1949914  -0.25322282
 -0.41042116 -0.56889975]",0
"[-0.04724519 -0.05848497  0.7156174   0.04814533  0.15546028 -0.12546314
  0.27383986  0.67970234 -0.5185804  -0.14840753  0.6704026   0.0886261
  0.32672453 -0.18913537  0.38581896  0.1318604   1.2765118  -0.3260729
 -0.4290636  -0.5703951 ]",0
"[-0.07597229  0.08957542  0.5947632   0.130986    0.26078433 -0.08548113
  0.33354107  0.50786024 -0.6793237  -0.06858919  0.7947425  -0.12959531
  0.33508134 -0.26214132  0.34166446  0.18572082  1.308834   -0.34317097
 -0.48901328 -0.6674529 ]",0
"[-0.06166589 -0.07289246  0.53311265  0.0225773   0.23542437 -0.05551753
  0.2575913   0.64369994 -0.40499198  0.00662964  0.66683984  0.04223737
  0.24354981 -0.14982101  0.3542746   0.10767188  1.232892   -0.37139174
 -0.4203776  -0.59402144]",1
"[-0.12728281 -0.01044662  0.5878924  -0.07256727  0.23235914 -0.16397311
  0.31928995  0.73363036 -0.4385498  -0.05619586  0.7556697   0.07659765
  0.2939557  -0.20788372  0.22070627  0.12781112  1.2502793  -0.2411224
 -0.4386111  -0.6688923 ]",1
"[-0.01963722  0.0030048   0.7066496   0.03505032  0.2623042  -0.14110795
  0.26486924  0.7191074  -0.49220446 -0.11873198  0.6324368   0.06784897
  0.36644107 -0.21656515  0.30762845  0.1306936   1.2346048  -0.3306524
 -0.3843676  -0.5883508 ]",0
"[-0.05344877  0.03631258  0.693989   -0.09442414  0.20722081 -0.11497822
  0.16915558  0.6872329  -0.50097984 -0.06172755  0.6724867   0.17914549
  0.33001116 -0.1854152   0.28466317  0.08356037  1.1433613  -0.2716844
 -0.47390163 -0.6119645 ]",1
"[-0.12646826  0.02079229  0.6272547   0.02064592  0.36233225 -0.1467918
  0.28189877  0.6266381  -0.38239104 -0.04716877  0.80205566  0.03569539
  0.10545488 -0.2904204   0.2778305   0.08293798  1.2761666  -0.30933008
 -0.28000465 -0.71572715]",1
"[-0.13902333 -0.01183174  0.53055984  0.05997346  0.24577306 -0.08912319
  0.3225701   0.60089004 -0.4664058  -0.00133839  0.7018993  -0.04398665
  0.36988494 -0.19569546  0.35015377  0.24157538  1.3091503  -0.27317217
 -0.48067215 -0.6355306 ]",1
"[-0.21445777 -0.08099826  0.51340747 -0.08780794  0.2587563  -0.15596928
  0.23222926  0.6138988  -0.4904448  -0.02236884  0.8123084  -0.09410689
  0.2822415  -0.28619176  0.24237725  0.20082533  1.3178893  -0.29972917
 -0.459707   -0.6788651 ]",0
"[-0.22873266  0.01463421  0.52040446  0.00877078  0.2354981  -0.1566902
  0.2506001   0.68231976 -0.39900407  0.01718194  0.7656357   0.02023653
  0.27461395 -0.20780316  0.2908263   0.1230379   1.2665474  -0.24638642
 -0.30858502 -0.71957684]",1
"[-0.05256143  0.06310437  0.6929508   0.04012681  0.30168173 -0.12062272
  0.2141563   0.7567782  -0.5083474  -0.15898882  0.6490357   0.06723768
  0.31930837 -0.2009732   0.26784468  0.11058795  1.2724099  -0.3133565
 -0.39126256 -0.57942   ]",1
"[ 0.07687563 -0.06357812  0.7684961  -0.02914142  0.18584166 -0.09356446
  0.06471986  0.6361536  -0.35815987 -0.10989345  0.59965336  0.2283627
  0.28829548 -0.15416446  0.44056973  0.05302658  1.1026864  -0.32949695
 -0.33933577 -0.5755171 ]",1
"[-0.08804318 -0.05017658  0.63302386 -0.04546844  0.21548577 -0.07550944
  0.21399832  0.714686   -0.47039545 -0.07053664  0.6132565   0.14432189
  0.40702236 -0.1081042   0.34127817  0.09688468  1.2155708  -0.300612
 -0.41714302 -0.5718753 ]",0
"[-0.0662615  -0.02560323  0.78293395 -0.00363495  0.11046474 -0.24014737
  0.16213201  0.6930369  -0.43642572 -0.06004433  0.6083014   0.16074401
  0.26482776 -0.20643489  0.3846894   0.10289238  1.2360885  -0.30666384
 -0.40757528 -0.5164445 ]",1
"[-0.01521411 -0.08136566  0.68108755 -0.00478733  0.21241042 -0.1077559
  0.22305106  0.6210844  -0.39964142 -0.01921422  0.609187    0.08564317
  0.38898072 -0.07388109  0.36845425  0.09444378  1.1796113  -0.28458256
 -0.46866876 -0.63560843]",0
"[-0.03313285  0.0062929   0.5708494  -0.04626989  0.22242935 -0.0899663
  0.30874303  0.6783711  -0.4886593  -0.17528489  0.7429136   0.00163122
  0.3383908  -0.20174922  0.37750494  0.10747769  1.2731787  -0.33978805
 -0.38910845 -0.63301086]",0
"[-0.07007095  0.00352843  0.6264817   0.04212817  0.35167933 -0.09298676
  0.27298713  0.7380204  -0.3795273  -0.05702185  0.59114546  0.078697
  0.33716264 -0.17392677  0.29806417  0.03077007  1.2366097  -0.3589902
 -0.3686736  -0.64810354]",1
"[-0.0462255   0.15239713  0.4445621  -0.00229887  0.25550103 -0.15540983
  0.21810141  0.48809853 -0.3228038   0.10494793  0.7692984   0.02595756
  0.22272016 -0.26079068  0.32435367  0.36012846  1.1258909  -0.31499255
 -0.4146634  -0.68677235]",0
"[-0.08479391 -0.07761957  0.6303889   0.02370602  0.22050118 -0.09275725
  0.34593338  0.674291   -0.5084919  -0.14800651  0.7089272   0.00420595
  0.36741894 -0.14001828  0.2870048   0.20736548  1.3412095  -0.28626844
 -0.42801437 -0.64717954]",0
"[ 0.05228224 -0.01896602  0.5989313  -0.12588403  0.25927457 -0.1065788
  0.16458099  0.5981547  -0.408047   -0.06358076  0.63365316  0.15081364
  0.40408707 -0.17861994  0.3936488   0.14984617  1.1290905  -0.27945894
 -0.46036577 -0.6151887 ]",1
"[-0.08961413 -0.01895659  0.6564066   0.13081303  0.21839803 -0.1570864
  0.35141423  0.5674277  -0.50339895  0.02951431  0.6630549  -0.04544166
  0.35925847 -0.15901417  0.42072245  0.1928899   1.369179   -0.23307629
 -0.43312865 -0.64074135]",1
"[-0.12130132 -0.01763671  0.54246646  0.14777048  0.19396193 -0.08176322
  0.23452207  0.64616615 -0.55373895 -0.06062838  0.73065937  0.05295292
  0.35851136 -0.1858549   0.29395086  0.25672215  1.2336208  -0.29092988
 -0.49394366 -0.6076266 ]",0
"[-0.00145082 -0.02533506  0.71156234  0.0299524   0.25135455 -0.13460933
  0.2073818   0.61476034 -0.531849   -0.17212251  0.6481642   0.08994915
  0.37830928 -0.20963207  0.40548515  0.06460374  1.2765682  -0.32836014
 -0.49332017 -0.55619884]",0
"[-0.05699307  0.04237124  0.6063791  -0.03806461  0.27543652 -0.17437814
  0.21182756  0.63361555 -0.44613338 -0.05383985  0.6940004   0.0436406
  0.3024513  -0.17087473  0.30299675  0.1349591   1.2387469  -0.3033362
 -0.43360293 -0.61821216]",1
"[ 6.3248359e-02  2.3569282e-02  6.1623895e-01  1.5472983e-01
  2.5007850e-01  1.7237713e-04  3.4919965e-01  7.6710427e-01
 -4.2617148e-01 -1.1768427e-01  5.2978295e-01  1.5389037e-01
  3.3924222e-01 -7.1526825e-02  3.3399710e-01  1.0522980e-01
  1.0950162e+00 -3.7848896e-01 -3.8435045e-01 -6.1104655e-01]",0
"[ 0.02653733 -0.03822339  0.7179229  -0.13378488  0.24264066 -0.1909345
  0.11392922  0.6705899  -0.473813   -0.04176039  0.6598447   0.10703596
  0.35341465 -0.21734731  0.25866643  0.12876119  1.180387   -0.2651518
 -0.41125485 -0.5994797 ]",1
"[-0.04683658  0.03662185  0.5454466   0.00252295  0.2512586  -0.13772692
  0.21105886  0.36191595 -0.49494886 -0.07705853  0.77403545  0.01716255
  0.38905594 -0.31453514  0.39874783  0.27433437  1.3320825  -0.1147878
 -0.55435985 -0.72863907]",1
"[-0.1600714  -0.02784358  0.6343939   0.02097681  0.14899498 -0.05478478
  0.3341364   0.7739623  -0.54331833 -0.10638604  0.7096425   0.01626179
  0.27492777 -0.17466885  0.2630557   0.2274701   1.2822908  -0.30321175
 -0.35802743 -0.62404794]",1
"[-0.08921224 -0.0437395   0.6601396  -0.01278914  0.1584233  -0.14149226
  0.22498469  0.67780274 -0.52400804 -0.06153189  0.71190625  0.05718582
  0.3388809  -0.20201169  0.34857753  0.18069835  1.2435982  -0.25442746
 -0.43462852 -0.58380353]",1
"[ 0.01484008  0.08341619  0.5949487  -0.01839598  0.26800552 -0.10254531
  0.2543709   0.666722   -0.5810334  -0.20077473  0.73265034  0.04193106
  0.34612274 -0.27557617  0.27763942  0.2559444   1.2512032  -0.23227601
 -0.4553132  -0.7239484 ]",1
"[-0.12826437 -0.02586306  0.69018114 -0.01379179  0.19911963 -0.10702206
  0.27191484  0.7081269  -0.5399929  -0.05266298  0.6414477   0.08649521
  0.3125299  -0.16280665  0.29766437  0.20017421  1.2410545  -0.24067697
 -0.44655716 -0.638542  ]",0
"[-0.14669709 -0.08213783  0.73131776 -0.03845407  0.18125667 -0.09626955
  0.2339353   0.6636202  -0.4478171  -0.00234582  0.6590889   0.11935944
  0.33101043 -0.13904673  0.3669182   0.12408882  1.2549765  -0.27193406
 -0.38942024 -0.5749469 ]",0
"[-0.08360475 -0.02120933  0.58209676  0.02585744  0.1579563  -0.16674319
  0.29367286  0.6589855  -0.51432157 -0.09236653  0.74365526  0.01704992
  0.31239098 -0.19720432  0.31988308  0.20537032  1.3073965  -0.22281058
 -0.4684466  -0.62458616]",0
